BindingDB	Canonical_Smiles	IC50	PubChem
50266770	[C@@]1([H])(OC([H])([H])[H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])[C@@]([H])(C(N([H])c3c(F)c([H])c(N4C(=O)C([H])=C([H])C([H])=C4[H])c([H])c3[H])=O)C1([H])[H]	0.31999999	11634458
50266774	[C@]1(O[H])(c2c([H])c([H])c([H])c([H])c2C(F)(F)F)C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.34	44582149
50328728	c1([H])c(N([H])C(=O)N2C([H])([H])[C@]([H])(O[H])C([H])([H])[C@]2([H])C(N([H])c3c(F)c([H])c(c4c(S(C([H])([H])[H])(=O)=O)c([H])c([H])c([H])c4[H])c([H])c3[H])=O)c([H])c([H])c(Cl)c1[H]	0.38	16748993
50358999	c1([H])c(C(=O)[O-])c([H])c(Cl)c(C([H])([H])C([H])([H])C(N([H])c2c([H])c([H])c(Cl)c([H])c2[H])=O)c1N([H])C(=O)c3nc4c(C([H])([H])[N@@+]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C4([H])[H])s3	0.38	25050108
50249166	c1([H])c(N2C([H])([H])C([H])([H])C2([H])[H])c(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3C(N([H])c4nc([H])c(Cl)c([H])c4[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	0.40000001	44565632
7842	c1([H])c(N2C(=O)O[C@@]([H])(C([H])([H])N([H])C(=O)c3sc(Br)c([H])c3[H])C2([H])[H])c([H])c([H])c(N(C(=O)C([H])([H])OC4([H])[H])C4([H])[H])c1[H]	0.40000001	11569203
50142111	c1(c([H])c(Cl)c([H])c([H])c1N([H])C(=O)c2c([H])c([H])c(c([H])c2[H])c3c([H])c([H])c([H])c([H])c3N4C([H])([H])C([H])([H])C([H])(C([H])([H])C4([H])[H])C([O-])=O)C(=O)N([H])c5c([H])c([H])c(Cl)c([H])n5	0.40000001	44385893
35767	[C@@]1([H])(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(c2nc(c([H])c([H])c(Cl)c3[H])c3c(O[H])c2[H])=O)[C@]([H])(N([H])C(c4nc(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C5([H])[H])c5s4)=O)C1([H])[H]	0.43000001	16661109
50359000	c1([H])c(C(=O)[O-])c([H])c(C(F)(F)F)c(C([H])([H])C([H])([H])C(N([H])c2c([H])c([H])c(Cl)c([H])c2[H])=O)c1N([H])C(=O)c3nc4c(C([H])([H])[N@@+]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C4([H])[H])s3	0.47999999	25049959
50249121	c1([H])c(OC([H])([H])[H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	0.5	44565601
50249119	c1([H])c([H])c(C(=O)N([H])c2c(N(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(=[N+]([H])[H])N(C([H])([H])[H])C([H])([H])[H]	0.5	44565600
50443846	S(N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])OC([H])([H])[C@]1([H])C([H])([H])[H])C([H])([H])N([H])C(c2c([H])c([H])c(Cl)s2)=O)(c(c([H])c([H])c3[H])c(C([H])([H])C([H])([H])[H])c3N4C([H])([H])C([H])([H])C([H])([H])C4=O)(=O)=O	0.5	72792609
50443858	S(N([H])[C@@]([H])(C([H])([H])N([H])C(c(sc(c1[H])Cl)c1[H])=O)C(N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C2([H])[H])C([H])([H])[H])=O)(=O)(=O)c(c3[H])c(Cl)c(c([H])c3F)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4=O	0.5	72200999
50113590	S(N([H])[H])(=O)(=O)c1c([H])c([H])c([H])c([H])c1c2c([H])c([H])c(c(Br)c2[H])N([H])C(=O)\C(\F)=C(\C([H])([H])[H])/c3c([H])c([H])c([H])c(c3[H])C(N([H])[H])=[N+]([H])[H]	0.5	9936850
50113586	S(N([H])[H])(=O)(=O)c1c([H])c([H])c([H])c([H])c1c2c([H])c([H])c(c(Cl)c2[H])N([H])C(=O)\C(\F)=C(\C([H])([H])[H])/c3c([H])c([H])c([H])c(c3[H])C(N([H])[H])=[N+]([H])[H]	0.5	44284541
50124984	S(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])(=O)(=O)N([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C(=O)c2sc([H])c([H])n2	0.5	44375987
50266892	[C@]1(O[H])(C([H])([H])C([H])([H])[H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])[C@@]([H])(C(N([H])c3c(F)c([H])c(N4C(=O)C(C([H])([H])[H])=C([H])C([H])=C4[H])c([H])c3[H])=O)C1([H])[H]	0.5	44582206
50266742	[C@]1(O[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])[C@@]([H])(C(N([H])c4nc([H])c(N5C(=O)C([H])=C([H])C([H])=C5[H])c([H])c4[H])=O)C1([H])[H]	0.5	44582128
50193861	c1([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	0.5	10297977
50249117	c1([H])c([H])c(C(=O)N([H])c2c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	0.5	44565599
50249118	c1([H])c([H])c(C(=O)N([H])c2c(N(C([H])([H])[H])C([H])([H])[H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(=[N+]([H])[H])N(C([H])([H])[H])C([H])([H])[H]	0.5	18727867
50249165	c1([H])c(N(C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])[H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	0.5	44565631
50124975	S(=O)(=O)(N1C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C(=O)c2sc([H])c([H])n2)C(=O)C1([H])[H])c3c(C([H])([H])[H])c4c(c([H])c([H])c(Cl)c4[H])s3	0.50999999	44376328
50266890	[C@]1(O[H])(C([H])([H])[H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2[H])[C@@]([H])(C(N([H])c3c(F)c([H])c(N4C(=O)C(C([H])([H])[H])=C([H])C([H])=C4[H])c([H])c3[H])=O)C1([H])[H]	0.54000002	44582204
50359001	c1([H])c(C(=O)[O-])c([H])c(OC([H])([H])[H])c(C([H])([H])C([H])([H])C(N([H])c2c([H])c([H])c(Cl)c([H])c2[H])=O)c1N([H])C(=O)c3nc4c(C([H])([H])[N@@+]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C4([H])[H])s3	0.54000002	25049956
50155629	N1(C([H])([H])C([H])([H])OC([H])([H])C1=O)c2c([H])c([H])c(c([H])c2C([H])([H])[H])N([H])C(=O)[C@@]([H])(C([H])([H])OC([H])([H])[H])N([H])C(=O)c3c([H])c([H])c(Cl)s3	5.5	11465140
50222063	C1([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])([H])N(c3c([H])c([H])[n+]([H])c([H])c3[H])C([H])([H])C2([H])[H])C([H])([H])[C@]1([H])C([H])([H])N([H])S(=O)(\C([H])=C([H])\c4c([H])c([H])c(Cl)s4)=O	5.5	11352421
50134404	N1(C([H])([H])C([H])([H])OC([H])([H])C1=O)c2c([H])c([H])c(c([H])c2[H])N([H])C(=O)[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])N([H])C(=O)N([H])c3c([H])c([H])c(c([H])c3[H])Cl	5.5999999	44348077
50392594	S(=NC(=O)\C([H])=N\C([H])([H])[H])(c(c([H])c([H])c1C(=O)N([H])c(c(C(N([H])c2c([H])c([H])c(Cl)c([H])n2)=O)c([H])c3Cl)c(OC([H])([H])[H])c3[H])c([H])c1[H])(C([H])[H])[O-]	5.5999999	91970963
50358974	c1(C(=O)N([H])C([H])([H])[H])c([H])c([H])c([H])c(C([H])([H])N([H])C(=O)c2sc(Cl)c([H])c2[H])c1N([H])C(=O)c3nc4c(C([H])([H])[N@@+]([H])(C([H])([H])[H])C([H])([H])C4([H])[H])s3	5.5999999	25051116
50340860	c1(N([H])C(=O)c(s2)nc(c2C3([H])[H])C([H])([H])C([H])([H])[N@+]3([H])C([H])([H])[H])c([H])c(OC([H])([H])C(=O)OC([H])([H])[H])c([H])c([H])c1N([H])C(c4c([H])c5c(c([H])c([H])c(Cl)c5[H])n4[H])=O	5.5999999	54585218
50373929	c12c(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C1([H])[H])nc(s2)C(=O)N([H])[C@@]3([H])[C@@]([H])(N([H])C(=O)c4c([H])c5c(c([H])c([H])c(Cl)c5[H])n4[H])C([H])([H])C([H])([H])N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C3([H])[H]	5.5999999	44454956
50142094	c1(c([H])c(Cl)c([H])c([H])c1N([H])C(=O)c2c([H])c([H])c(c([H])c2[H])c3c([H])c([H])c([H])c([H])c3N4C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])C4([H])[H])C(=O)N([H])c5c([H])c([H])c(Cl)c([H])n5	5.5999999	44385449
50083747	N1(C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(C([H])([H])N([H])C(=O)[C@@]([H])(C([H])([H])C([H])([H])N([H])C(=O)c2c([H])nnc(c([H])c([H])c([H])c3[H])c23)N([H])S(C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])(=O)=O)=O)[C@@]1([H])O[H])C(N([H])[H])=[N+]([H])[H]	5.5999999	44343859
50114483	S(N([H])[H])(=O)(=O)c1c([H])c([H])c([H])c([H])c1c(c([H])c([H])c2C(=O)N([H])[C@@]([H])(C([H])([H])Oc(c([H])c([H])c([H])c3C(N([H])[H])=[N+]([H])[H])c3[H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c2[H]	5.5999999	44290453
50087646	N1(C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(C([H])([H])N([H])C(=O)[C@@]([H])(C([H])([H])C([H])(C([H])([H])C([H])([H])N2C(N([H])[H])=[N+]([H])[H])C([H])([H])C2([H])[H])N([H])S(=O)(=O)C([H])([H])c3c([H])c([H])c([H])c([H])c3C([O-])=O)=O)[C@@]1([H])O[H])C(N([H])[H])=[N+]([H])[H]	5.6999998	44377550
35760	[C@@]1([H])(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(c2c([H])c(c([H])c([H])c(Cl)c3[H])c3c([H])c2[H])=O)[C@]([H])(N([H])C(c4nc(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C5([H])[H])c5s4)=O)C1([H])[H]	5.6999998	16660964
35755	[C@@]1([H])(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(c2n([H])c(c([H])c([H])c(F)c3[H])c3c2Cl)=O)[C@]([H])(N([H])C(c4nc(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C5([H])[H])c5s4)=O)C1([H])[H]	5.6999998	44520917
50149912	S(N([H])[H])(=O)(=O)c1c([H])c([H])c([H])c([H])c1c2c([H])c([H])c(c([H])c2[H])C(N([H])C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c(Cl)s3)=O	5.6999998	44392904
50071695	[C@@]1(C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N2C(N([H])[H])=[N+]([H])[H])[C@@]2([H])O[H])C1=O)(C(OC([H])([H])C([H])([H])[H])=O)N([H])S(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])(=O)=O	5.7800002	44318182
50142167	c1(c([H])c(Cl)c([H])c([H])c1N([H])C(=O)c2c([H])c([H])c(c([H])c2[H])C([H])([H])[n+]3c([H])c([H])c([H])c([H])c3[H])C(=O)N([H])c4c([H])c([H])c(Cl)c([H])n4	5.8000002	44386493
50373931	c12c(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C1([H])[H])nc(s2)C(=O)N([H])[C@@]3([H])[C@@]([H])(N([H])C(=O)c4c([H])c5c(c([H])c([H])c(Cl)c5[H])n4[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])OC([H])([H])[H])C3([H])[H]	5.8000002	10437408
50149093	c1(c2c([H])c([H])c(Cl)s2)nc(c([H])c([H])c(C([H])([H])C([H])([H])C(=O)N([H])c(c([H])c([H])c3N4C([H])([H])C([H])([H])OC([H])([H])C4=O)c(F)c3[H])c5[H])c5n1[H]	5.9000001	44348618
50140417	n1(nc(C([H])([H])[H])c([H])c1C(=O)N([H])c(c([H])c([H])c2C(=[N+]([H])[H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(F)c2[H])c4c([H])c5c(c([H])c([H])c([H])c5[H])c([H])c4F	6	21366562
35292	c1([H])c(\N=C(/N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])\N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3=O)c([H])c([H])c(oc(C([H])([H])[H])c5[H])c15	6	44473076
50374338	N([H])(S(=O)(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(N(C([H])([H])[H])C([H])([H])C(N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[N+]([H])=C(N([H])[H])N([H])[H])C(c2sc([H])c([H])n2)=O)=O)=O	6	44453269
50123431	N1(C([H])([H])c(c([H])c([H])c(c([H])c([H])c2C(N([H])[H])=[N+]([H])[H])c3c2[H])c3[H])C(=O)C([H])([H])Oc(c([H])c(c([H])c4[H])OC([H])(C([H])([H])C5([H])[H])C([H])([H])C([H])([H])N5C(C([H])([H])[H])=[N+]([H])[H])c14	6	9869375
35315	c1([H])c(\N=C(/N([H])C(c2c([H])c([H])c(C(=O)N([H])C([H])([H])[H])nc2[H])=O)\N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3=O)c([H])c([H])c(oc(C([H])([H])[H])c5[H])c15	6	44473099
35306	c1([H])c(\N=C(/N([H])C(c2c([H])c([H])sc2[H])=O)\N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3=O)c([H])c([H])c(oc(C([H])([H])[H])c5[H])c15	6	44473090
35297	c1([H])c(\N=C(/N([H])C(c2c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c2[H])=O)\N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C3=O)c([H])c([H])c(oc(C([H])([H])[H])c5[H])c15	6	44473081
50114435	n1(c2c([H])c3c(c([H])c([H])c([H])c3[H])c([H])c2C#N)nc(C([H])([H])[H])c([H])c1C(=O)N([H])c(c([H])c4[H])c([H])c([H])c4c5c([H])c([H])c([H])c([H])c5S(N([H])[H])(=O)=O	6	9936020
50125022	S(=O)(=O)(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])N2C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C(=O)c3sc([H])c([H])n3)C(=O)[C@@]2([H])C([H])([H])O[H]	6	44376949
50123422	S(=O)(=O)(C([H])([H])C(OC([H])([H])C([H])([H])[H])=O)N(C([H])([H])c(c([H])c([H])c(c([H])c([H])c1C(N([H])[H])=[N+]([H])[H])c2c1[H])c2[H])c3c([H])c([H])c(c([H])c3[H])OC([H])(C([H])([H])C([H])([H])N4C(C([H])([H])[H])=[N+]([H])[H])C([H])([H])C4([H])[H]	6	15392323
50358979	O=S(C([H])([H])[H])(=NC(=O)c(c([H])c([H])c(C([H])([H])N([H])C(=O)c1sc(Cl)c([H])c1[H])c2N([H])C(=O)c3nc4c(C([H])([H])[N@@+]([H])(C([H])([H])[H])C([H])([H])C4([H])[H])s3)c2[H])[O-]	6	57397571
50123407	S(C([H])([H])[H])(=O)(=O)N(c1c([H])c([H])c(c([H])c1[H])OC([H])(C([H])([H])C2([H])[H])C([H])([H])C([H])([H])N2C(C([H])([H])[H])=[N+]([H])[H])C([H])([H])c3c([H])c4c(c([H])c([H])c(c4[H])C(N([H])[H])=[N+]([H])[H])s3	6	44368575
50249361	c1([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2C(N([H])c3sc(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	6	44565757
50249392	c1([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C4=NC([H])([H])C([H])([H])N4C([H])([H])C([H])([H])[H]	6	44565788
50193850	c1([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(OC([H])([H])C([O-])=O)c([H])c2C(N([H])c3nc([H])c(Cl)c([H])c3[H])=O)c([H])c([H])c1C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H]	6	18727564
