BindingDB	Canonical_Smiles	IC50	PubChem
50271236	Oc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882182
50271235	Oc1cc(ccc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882181
50271234	Clc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881336
50271201	Fc1ccc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882180
50271145	O=C/1NC(=O)c2c(cc(N3CC[NH+](CC3)C)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882002
50271144	O1CCN(CC1)c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881261
50271117	O=C/1NC(=O)c2c(cc(N3CCCCC3)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882001
50271115	O=C/1NC(=O)c2c(cc(-n3cccc3)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881999
50271088	O=C/1NC(=O)c2c(cc([N+](=O)[O-])cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881942
50271086	O(C)c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881941
50271087	Clc1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881258
28077	o1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882091
50271146	O=C/1NC(=O)c2c(cc(cc2)-c2ccccc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882090
28050	O=C/1NC(=O)c2c(cc(Nc3ccccc3)cc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882003
50271200	s1cc(cc1)-c1cc\2c(cc1)C(=O)NC(=O)/C/2=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24882179
50271199	O=C/1NC(=O)c2c(cc(cc2)-c2cccnc2)\C\1=C\Nc1ccc(cc1)C[NH+]1CCCCC1	50000	24881335
50267351	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\NCc1cc(O)c(cc1)-c1ncccc1	50000	42626349
50267521	Ic1cc2n(cc(c2cc1F)C1=C(c2c3c(oc2)c(OC)ccc3)C(=O)NC1=O)C	50000	24825779
50267399	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\NCc1cc(O)c(cc1)-c1ccncc1	50000	42626350
50267401	Ic1cc\2c(cc1)C(=O)NC(=O)/C/2=C\NCC=1NC(=O)C(OC)=CN=1	50000	42626352
50306876	O1c2c3c4c(cc5NC(=O)c(c35)cc2OC1)c(O)cc(O)c4	50000	46232477
50306885	O1c2c3-c4cc(OC)c(OC)cc4C[C@@H]4[NH+](CCc(c34)cc2OC1)C	50000	101300
50197847	O1c2c3-c4c(C[C@@H]5[NH+](CCc(c35)cc2OC1)C)c(OC)c(OC)cc4	50000	10042806
50306886	O1c2c3-c4c(C[C@H]5[NH+](CCc(c35)cc2OC1)C)cccc4	50000	119204
50250273	O(C)c1c2-c3c(C[C@@H]4[NH+](CCc(cc1OC)c24)C)ccc(OC)c3O	50000	10143
50250271	O(C)c1c2-c3c4[C@@H]([NH+](CCc4cc(OC)c3O)C)Cc2ccc1OC	50000	10153
50197838	O(C)c1cc2CC[NH+]([C@H]3Cc4c(-c(c23)c1O)c(O)c(OC)cc4)C	50000	160500
50378615	O(C)C1=C[C@@]23c4c(C[C@@H]([NH+](CC2)C)C3=CC1=O)ccc(OC)c4O	50000	5408233
50241298	O(C)C1=C[C@H]2[C@@]3(CC1=O)c1c(C[C@@H]2[NH+](CC3)C)ccc(OC)c1O	50000	5459308
50306887	O1c2c3-c4c(C[C@H]5[NH+](CCc(c35)cc2OC1)C)c(OC)ccc4	50000	160501
50203122	O1c2c(OC1)cc1CC[NH+]3C(Cc4c(C3)c(OC)c(OC)cc4)c1c2	50000	34458
50316252	O1CCN(CC1)c1nc(nc2n(ncc12)C1CCN(CC1)C(OC)=O)-c1ccc(N)cc1	50000	44605035
50316253	O1CCN(CC1)c1nc(nc2n(ncc12)C1CCN(CC1)C(OC(C)(C)C)=O)-c1ccc(N)cc1	50000	44605037
50314051	FC(F)(F)c1cc(ccc1)C(=O)Nc1cc(ccc1)C=1n2nc(cc2N=CC=1)-c1ccncc1	50000	24822704
50306677	Clc1c([C@H](Oc2cc3cc(cnc3cc2)\C=C\C(=O)N)C)c(Cl)ccc1F	50000	46232555
50306683	Clc1c([C@H](Oc2cc3c(nccc3)cc2)C)c(Cl)ccc1F	50000	46232443
50306684	Clc1c([C@H](Oc2cc3cc(cnc3cc2)C2CC2C(=O)N)C)c(Cl)ccc1F	50000	46232556
50378824	OC1CCC(Nc2nc(nc(NCC)c2)Nc2cc3c(n(cc3)Cc3ccccc3)cc2)CC1	50000	24825971
50364832	Clc1ccc(cc1)\C=C\c1cc(ccc1OC)C(=O)NC[C@@H](O)CO	50000	57325478
50364833	Clc1ccc(cc1)\C=C\c1cc(ccc1OC)C(=O)NC[C@H](O)CO	50000	57325479
50250137	S=C(Nc1ccc(OC)cc1)[N-]\N=C/1\c2c(NC\1=O)cccc2	50000	5357223
50443366	Clc1cc2c(OC(=O)C(Cc3cc(NS(=O)(=O)NC)ccc3)=C2C)cc1OC(=O)N(C)C	50000	24753787
13216	Clc1cccc(C)c1NC(=O)c1sc(nc1)Nc1nc(nc(N2CC[NH+](CC2)CCO)c1)C	5000	3062316
50235544	Fc1cc(NC(=O)NC(=O)Cc2ccc(F)cc2)ccc1OC1=NC=Nn2c1c(cc2)C[NH+]1CCC([NH3+])CC1	5000	21081523
50379357	Brc1c[nH+]c2nc([nH]c2c1NCCCNC(=O)C1CCC1)-c1ccc(OC)cc1	4910	70691556
50432351	n1c(-n2c3cc(ncc3cc2)C#N)ccnc1N	44000	71580746
6383	IC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC[NH2+]CC2)cc1)C1CCCC1	360	5330356
50306878	O1c2c3c4c(cc2OC1)C(=O)N(c4cc1c3cccc1OC)C	35000	21680138
50306879	O1c2c3c4c(cc2OC1)C(=O)N(c4cc1c3cccc1O)C	35000	46232478
50306880	Oc1c2c3c(cc1O)C(=O)Nc3cc1c2cccc1	35000	46232479
50306882	O(C)c1c2c(c3c4c(cc(O)c3O)C(=O)Nc4c2)ccc1	35000	46232522
50306883	Oc1c2c3c(cc1O)C(=O)Nc3cc1c2cccc1O	35000	46232523
50306873	O1c2c3c4c(cc5NC(=O)c(c35)cc2OC1)c(OC)cc(O)c4	35000	11630942
50432359	O=[N+]([O-])c1cc2n(ccc2cc1)-c1nc(ncc1)N	30600	71580737
50395264	Clc1ccccc1NC=1n2nccc2[NH+]=C(NC2CCC([NH3+])CC2)C=1CC	300000	60201072
50221346	S(=O)(C)c1cc(C)c(cc1)-c1nc(c(n1C)-c1cc2c(cc(OC)cc2)cc1)-c1ccncc1	30000	24180608
