BindingDB	Canonical_Smiles	IC50	PubChem
50333988	O1CCC(Nc2nccc(c2)C2=NN(C3CC[NH2+]CC3)C(=O)N2c2cc3c(cc2)cccc3)CC1	50000	53326558
50333997	O1CCC(Nc2nccc(c2)C2=NN(C3CCN(CC3)C(OC)=O)C(=O)N2c2cc3c(cc2)cccc3)CC1	50000	53325288
50332040	s1ccc(NC(=O)Cc2sccc2)c1C(OC)=O	50000	2808202
50338287	s1cc(C)c(-c2[nH]c(nn2)C)c1NC(=O)Cc1c2c(nccc2)ccc1	50000	46869817
50338288	s1cc(C)c(-c2[nH]cnn2)c1NC(=O)Cc1c2c(nccc2)ccc1	50000	46869745
50338289	s1cc(C)c(-c2[nH]c(nn2)C)c1NC(=O)CN1c2c(CCC1=O)cccc2	50000	46869674
50338290	s1cc(C)c(-c2[nH]cnn2)c1NC(=O)CN1c2c(CCC1=O)cccc2	50000	46869741
50338292	Clc1csc(NC(=O)CN2c3c(CCC2=O)cccc3)c1-c1[nH]cnn1	50000	46869673
50338293	s1cc(C#N)c(-c2[nH]cnn2)c1NC(=O)CN1c2c(CCC1=O)cccc2	50000	46869880
50338262	Brc1csc(NC(=O)Cc2c3c(ccc2)cncc3)c1-c1[nH]cnn1	50000	46869878
50338263	Clc1csc(NC(=O)Cc2c3c(ccc2)cncc3)c1-c1[nH]cnn1	50000	45102739
50338264	s1cc(C#N)c(-c2[nH]cnn2)c1NC(=O)Cc1c2c(ccc1)cncc2	50000	46868853
50338265	Brc1csc(NC(=O)Cc2c3c(nccc3)ccc2)c1-c1[nH]cnn1	50000	46869879
50338266	Clc1csc(NC(=O)Cc2c3c(nccc3)ccc2)c1-c1[nH]cnn1	50000	46869816
50338267	s1cc(C#N)c(-c2[nH]cnn2)c1NC(=O)Cc1c2c(nccc2)ccc1	50000	46868856
50352607	Brc1csc(NC(=O)CN2c3c(nccc3)CCC2=O)c1-c1[nH]cnn1	50000	56661803
50352614	Brc1csc(NC(=O)CN2c3cc(F)c(F)cc3C=CC2=O)c1-c1[nH]cnn1	50000	46868925
50352615	Brc1csc(NC(=O)CN2c3c(cc(cc3)C(F)(F)F)C=CC2=O)c1-c1[nH]cnn1	50000	46868926
50352620	Brc1csc(NC(=O)CN2c3c(cc(cc3)C#N)C=CC2=O)c1-c1[nH]cnn1	50000	56682210
50384379	O=C1N(c2cc(NC(=O)c3ccccc3)ccc2C)C(=Nc2c1cc(N1CC[NH+](CC1)C)cc2)C	50000	70690018
50370771	O1Cc2c(cccc2)C(=O)c2c1cc(Nc1ccc(N)cc1)cc2	5000	11962714
50370772	Brc1cc(Br)ccc1Nc1cc2OCc3c(cccc3)C(=O)c2cc1	5000	11962795
50370773	O1Cc2c(cccc2)C(=O)c2c1cc(Nc1ccc(N)cc1N)cc2	5000	11962719
50334010	O=C1N(C(=N[N-]1)c1cc(ncc1)N[C@@H](C)c1ccccc1)c1cc2c(cc1)cccc2	5000	53320021
50338284	s1cc(C)c(-c2[nH]c(nn2)C)c1NC(=O)Cc1ccc(cc1)-c1ccncc1	5000	46868855
50338285	s1cc(C)c(-c2[nH]c(nn2)C)c1NC(=O)Cc1ccc(OCCC[NH+]2CCCCC2)cc1	5000	46869876
50338286	s1cc(C)c(-c2[nH]c(nn2)C)c1NC(=O)Cc1c2nccnc2ccc1	5000	46869815
50411053	Clc1ccccc1NC(=O)N(N)c1nc(ncc1)N[C@H](COC)C	5000	44412844
50411055	Clc1ccccc1NC(=O)N(c1ccc(F)cc1)c1nc(ncc1)N1CCOCC1	5000	11546418
50411058	Clc1ccccc1NC(=O)N(c1ccc(N(C)C)cc1)c1nc(ncc1)N[C@H](COC)C	5000	44412816
50411059	O(C[C@@H](Nc1nc(N(C(=O)Nc2ccccc2C)C)ccn1)C)C	5000	44412845
50411060	O=C(N(c1ccc(N(C)C)cc1)c1nc(ncc1)N[C@@H](C)c1ccccc1)Nc1ccccc1C	5000	44412830
50411068	Clc1ccccc1NC(=O)N(c1ccc(F)cc1)c1nc(ncc1)N[C@@H](C)c1ccccc1	5000	44413012
50411070	Clc1ccccc1NC(=O)N(c1ccc(F)cc1)c1nc(ncc1)N1CC[NH+](CC1)C	5000	11590305
50411072	Fc1ccc(N(C(=O)Nc2ccc(cc2)C(F)(F)F)c2nc(ncc2)N[C@H](COC)C)cc1	5000	44413001
50091930	Clc1c(NC(=O)Nc2n(nc(c2)C(C)(C)C)-c2cc(NC(=O)C)ccc2)cccc1Cl	500	44304908
